timestamp_ms,queue_length,active_workers,completed_tasks
4,3,0,0
105,2,2,14
206,1,3,28
307,3,2,43
414,4,7,63
515,2,4,83
615,5,4,100
717,0,5,122
818,0,4,143
919,2,3,157
1020,1,6,174
1121,4,5,194
1222,3,5,212
1323,1,4,229
1424,2,4,245
1525,6,4,262
1626,1,5,281
1727,2,5,295
1828,1,6,314
1929,2,5,333
2030,2,7,355
2131,3,4,378
2232,4,6,400
2332,1,4,426
2435,1,6,445
2536,3,5,471
2637,2,8,488
2738,2,6,513
2839,0,5,538
2940,1,8,555
3044,2,8,575
3145,2,5,601
3248,3,7,621
3348,1,6,643
3449,4,8,662
3550,1,7,685
3651,1,5,713
3752,2,5,734
3853,3,6,756
3954,2,7,775
4054,3,7,804
4155,1,5,825
4256,0,7,847
4357,1,5,867
4462,3,4,890
4563,3,5,905
4664,1,4,922
4767,1,3,939
4868,0,6,962
4969,2,7,984
5070,0,0,1000
