timestamp_ms,queue_length,active_workers,completed_tasks
0,0,0,0
101,1,0,1
202,0,1,4
303,0,1,7
405,0,1,9
505,0,0,13
607,0,1,13
708,0,0,19
811,0,0,19
912,0,1,19
1013,1,0,21
1114,0,0,22
1215,0,0,23
1320,0,0,24
1427,0,0,27
1528,0,1,29
1629,0,2,30
1730,0,0,32
1831,0,0,33
1933,0,0,34
2034,0,1,37
2135,0,1,39
2236,0,1,40
2336,0,0,43
2437,1,2,45
2538,1,0,49
2639,0,0,52
2741,0,1,54
2842,0,1,57
2943,0,1,60
3044,0,0,62
3145,0,0,63
3246,1,0,64
3347,0,0,66
3448,1,2,68
3549,0,0,71
3650,1,0,74
3752,0,1,77
3853,0,1,81
3954,0,0,84
4055,1,1,85
4155,0,0,88
4256,1,0,90
4358,0,0,93
4458,0,0,95
4559,0,0,96
4660,0,0,96
4761,0,1,96
4862,1,1,97
4963,0,1,99
